Time for test profiler to run was 285ms
Time for Run 0 to run was 31ms
Time for Run 1 to run was 31ms
Time for Run 2 to run was 14ms
Time for Run 3 to run was 9ms
Time for Run 4 to run was 9ms
Time for Run 5 to run was 9ms
Time for Run 6 to run was 9ms
Time for Run 7 to run was 9ms
Time for Run 8 to run was 9ms
Time for Run 9 to run was 9ms
Time for Run 10 to run was 9ms
Time for Run 11 to run was 9ms
Time for Run 12 to run was 9ms
Time for Run 13 to run was 9ms
Time for Run 14 to run was 9ms
Time for Run 15 to run was 9ms
Time for Run 16 to run was 9ms
Time for Run 17 to run was 9ms
Time for Run 18 to run was 9ms
Time for Run 19 to run was 9ms
Time for Run 20 to run was 9ms
Time for Run 21 to run was 9ms
Time for Run 22 to run was 9ms
Time for Run 23 to run was 9ms
Time for Run 24 to run was 9ms
